Product Code/SKU,Cost Price,Selling Price
145530,6630.0,8124.5
136747,9605.0,11545.75
118200,4250.0,5387.5
145800,6120.0,7538.0
152816,2550.0,3432.5
140748,7990.0,9688.5
137389,2295.0,3139.25
153422,4250.0,5387.5
137584,3060.0,4019.0
137390,2720.0,3628.0
160007,5100.0,6365.0
137374,4250.0,5387.5
160008,5100.0,6365.0
145812,4335.0,5485.25
146290,3825.0,4898.75
155331,5270.0,6560.5
146499,3825.0,4898.75
145809,2550.0,3432.5
147698,7140.0,8711.0
146582,3910.0,4996.5
147281,3740.0,4801.0
147895,2890.0,3823.5
145546,2295.0,3139.25
140751,8840.0,10666.0
149004,6120.0,7538.0
146496,2550.0,3432.5
137578,2890.0,3823.5
118351,5100.0,6365.0
153394,7735.0,9395.25
146400,4930.0,6169.5
154278,4930.0,6169.5
154274,6205.0,7635.75
137577,3570.0,4605.5
118286,3570.0,4605.5
137580,3740.0,4801.0
140749,7225.0,8808.75
137526,4590.0,5778.5
153420,5525.0,6853.75
118294,1955.0,2748.25
137388,3060.0,4019.0
139577,5950.0,7342.5
118290,3910.0,4996.5
138411,7267.5,8857.625
145806,5100.0,6365.0
142482,5270.0,6560.5
139579,7650.0,9297.5
137378,5780.0,7147.0
142409,2890.0,3823.5
118295,3230.0,4214.5
137376,3060.0,4019.0
137575,3910.0,4996.5
118291,3060.0,4019.0
137373,4590.0,5778.5
146587,2465.0,3334.75
145801,4590.0,5778.5
151659,4335.0,5485.25
174807,4250.0,5387.5
114719,3400.0,4410.0
109708,3740.0,4801.0
110270,2295.0,3139.25
151657,4250.0,5387.5
120080,3910.0,4996.5
142155,3655.0,4703.25
147279,3230.0,4214.5
146313,2295.0,3139.25
120075,3910.0,4996.5
110259,3740.0,4801.0
145540,5610.0,6951.5
146588,2890.0,3823.5
145368,3060.0,4019.0
110245,2975.0,3921.25
110244,2975.0,3921.25
147903,1700.0,2455.0
145369,3060.0,4019.0
139043,2720.0,3628.0
137148,5355.0,6658.25
147893,2550.0,3432.5
137150,4080.0,5192.0
146280,8500.0,10275.0
148950,5865.0,7244.75
137574,4590.0,5778.5
120083,2805.0,3725.75
137149,5355.0,6658.25
137152,3060.0,4019.0
118186,1190.0,1868.5
110258,3740.0,4801.0
137171,2890.0,3823.5
